,state,mean-m1,mean-m2,mean-m3,mean-m4,mean-m5,mean-m6,mean-m7,mean-m8,mean-m9,mean-m10,mean-m11,mean-m12,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
0,alabama,0,0,0,0,0,0,0,0,0,0,0,0,42.8,41.5,56.7,59.8,68.0,76.6,79.6,79.1,72.6,65.5,48.7,53.8
1,alaska,0,0,0,0,0,0,0,0,0,0,0,0,22.3,14.3,19.2,34.8,48.0,56.5,59.1,57.3,47.4,37.9,15.8,17.0
2,arizona,0,0,0,0,0,0,0,0,0,0,0,0,56.3,61.0,64.1,76.7,83.1,95.3,93.7,92.6,89.2,74.8,70.1,59.2
3,arkansas,0,0,0,0,0,0,0,0,0,0,0,0,42.1,35.4,56.6,59.5,67.5,78.0,80.2,81.5,76.0,66.7,50.2,54.3
4,california,0,0,0,0,0,0,0,0,0,0,0,0,57.6,57.8,56.5,60.9,62.4,65.6,68.8,69.7,68.4,65.7,63.7,55.3
5,colorado,0,0,0,0,0,0,0,0,0,0,0,0,33.9,25.4,39.4,46.2,56.1,71.6,76.7,75.4,68.8,53.9,46.3,38.4
6,connecticut,0,0,0,0,0,0,0,0,0,0,0,0,29.0,28.6,40.9,51.2,59.8,72.2,73.0,74.8,66.1,57.4,41.5,38.0
7,delaware,0,0,0,0,0,0,0,0,0,0,0,0,38.3,38.3,49.9,56.8,65.2,76.1,79.4,78.1,71.2,64.5,46.3,45.6
8,florida,0,0,0,0,0,0,0,0,0,0,0,0,68.6,74.5,74.5,77.4,81.2,82.7,83.7,84.8,83.1,81.2,73.1,74.5
9,georgia,0,0,0,0,0,0,0,0,0,0,0,0,46.2,48.7,59.1,62.9,69.7,77.6,79.9,80.4,73.9,67.2,52.9,56.0
10,hawaii,0,0,0,0,0,0,0,0,0,0,0,0,76.6,74.4,74.4,76.3,79.2,80.7,81.8,81.5,81.6,80.3,78.2,74.2
11,idaho,0,0,0,0,0,0,0,0,0,0,0,0,36.4,35.1,44.8,51.8,59.5,75.9,83.8,74.4,66.5,54.9,44.4,34.1
12,illinois,0,0,0,0,0,0,0,0,0,0,0,0,29.2,20.2,44.2,51.9,60.3,74.3,74.4,77.1,70.3,59.7,40.3,38.0
13,indiana,0,0,0,0,0,0,0,0,0,0,0,0,31.0,25.9,46.9,53.2,60.9,74.1,75.0,77.6,70.2,60.9,40.5,42.1
14,iowa,0,0,0,0,0,0,0,0,0,0,0,0,25.2,13.6,42.9,51.7,60.2,74.2,73.0,73.6,68.7,57.8,39.7,35.0
15,kansas,0,0,0,0,0,0,0,0,0,0,0,0,35.6,26.0,50.8,55.2,63.6,77.4,79.3,81.6,75.6,61.9,48.4,44.2
16,kentucky,0,0,0,0,0,0,0,0,0,0,0,0,36.5,33.3,52.7,58.0,66.0,77.8,79.7,80.9,73.4,65.0,46.3,49.9
17,louisiana,0,0,0,0,0,0,0,0,0,0,0,0,49.2,46.5,61.7,65.9,73.3,82.3,83.1,84.0,77.6,72.1,56.1,63.5
18,maine,0,0,0,0,0,0,0,0,0,0,0,0,24.1,22.9,33.0,46.7,55.0,67.7,66.3,70.9,62.3,53.1,37.8,27.3
19,maryland,0,0,0,0,0,0,0,0,0,0,0,0,36.7,35.8,48.7,56.5,64.0,75.9,80.2,79.7,71.5,64.7,45.4,45.5
20,massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,31.0,30.8,42.0,50.8,61.4,74.4,72.4,76.9,69.7,59.9,44.7,39.2
21,michigan,0,0,0,0,0,0,0,0,0,0,0,0,29.3,23.3,42.9,50.6,59.0,72.8,74.0,75.7,66.9,59.4,39.4,37.2
22,minnesota,0,0,0,0,0,0,0,0,0,0,0,0,14.4,1.7,33.2,39.8,53.1,67.2,69.7,69.6,,49.0,30.0,13.8
23,mississippi,0,0,0,0,0,0,0,0,0,0,0,0,48.0,45.4,61.1,63.6,71.5,80.2,82.0,82.1,75.8,69.7,53.4,60.5
24,missouri,0,0,0,0,0,0,0,0,0,0,0,0,34.1,23.2,50.2,55.6,63.6,77.5,78.6,79.8,71.9,59.7,46.5,43.1
25,montana,0,0,0,0,0,0,0,0,0,0,0,0,33.0,16.6,41.1,45.2,53.6,73.1,79.3,70.7,65.2,51.4,43.8,25.5
26,nebraska,0,0,0,0,0,0,0,0,0,0,0,0,28.5,16.3,46.1,53.2,62.2,77.7,77.7,78.0,71.0,57.9,44.5,35.9
27,nevada,0,0,0,0,0,0,0,0,0,0,0,0,50.4,55.4,58.2,72.2,79.3,93.0,95.8,93.1,86.2,67.9,63.9,50.0
28,new hampshire,0,0,0,0,0,0,0,0,0,0,0,0,29.1,27.6,39.6,49.6,60.8,73.0,71.2,75.4,67.1,57.6,42.1,36.1
29,new jersey,0,0,0,0,0,0,0,0,0,0,0,0,35.2,35.2,45.7,53.7,61.7,72.7,77.1,77.1,70.1,62.5,44.7,43.5
30,new mexico,0,0,0,0,0,0,0,0,0,0,0,0,37.3,40.4,47.6,57.3,67.4,77.9,79.0,77.4,73.3,58.2,50.5,41.2
31,new york,0,0,0,0,0,0,0,0,0,0,0,0,34.8,33.2,44.0,51.9,61.3,71.4,75.8,76.9,70.7,63.0,46.3,43.4
32,north carolina,0,0,0,0,0,0,0,0,0,0,0,0,41.0,42.4,54.7,60.3,66.8,76.1,79.2,80.8,73.0,66.2,48.9,52.6
33,north dakota,0,0,0,0,0,0,0,0,0,0,0,0,19.4,6.8,36.0,42.4,56.7,71.6,74.8,72.0,64.4,51.0,32.7,14.5
34,ohio,0,0,0,0,0,0,0,0,0,0,0,0,33.9,29.7,47.5,52.9,60.6,72.7,74.7,76.5,68.9,61.6,42.0,43.9
35,oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,39.1,30.4,54.1,57.5,65.5,76.3,80.0,80.8,76.3,64.6,51.1,50.7
36,oregon,0,0,0,0,0,0,0,0,0,0,0,0,44.8,41.9,47.2,55.2,60.1,70.7,73.0,72.5,66.4,54.8,50.4,41.1
37,pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,35.7,34.2,47.4,55.6,64.1,75.1,78.9,79.2,71.6,64.0,46.8,45.3
38,rhode island,0,0,0,0,0,0,0,0,0,0,0,0,30.4,30.5,38.7,47.0,55.4,67.1,69.5,72.0,64.9,57.1,41.1,37.6
39,south carolina,0,0,0,0,0,0,0,0,0,0,0,0,45.6,48.4,58.5,63.4,70.3,78.8,80.8,81.4,74.4,67.9,52.0,54.8
40,south dakota,0,0,0,0,0,0,0,0,0,0,0,0,25.8,12.9,40.9,48.5,59.2,75.3,75.6,74.4,67.0,53.9,38.7,27.1
41,tennessee,0,0,0,0,0,0,0,0,0,0,0,0,43.8,37.0,58.3,61.0,69.5,78.9,81.6,83.0,75.9,67.9,51.5,57.2
42,texas,0,0,0,0,0,0,0,0,0,0,0,0,52.4,47.4,62.4,65.2,72.4,80.3,80.8,82.2,78.9,71.4,58.4,62.8
43,utah,0,0,0,0,0,0,0,0,0,0,0,0,33.0,36.4,44.7,51.3,62.7,80.2,85.7,76.8,70.3,53.2,45.0,34.8
44,vermont,0,0,0,0,0,0,0,0,0,0,0,0,23.0,21.8,35.1,48.0,58.9,71.9,69.6,74.4,64.6,55.6,37.9,31.8
45,virginia,0,0,0,0,0,0,0,0,0,0,0,0,42.4,42.8,54.2,60.9,67.9,78.1,81.7,79.2,72.8,66.6,50.5,49.7
46,washington,0,0,0,0,0,0,0,0,0,0,0,0,43.8,41.4,45.6,53.0,56.9,66.1,68.0,67.5,61.9,51.8,47.9,38.0
47,west virginia,0,0,0,0,0,0,0,0,0,0,0,0,34.8,34.1,49.2,54.7,61.7,72.7,75.4,77.0,68.5,61.9,43.8,46.5
48,wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,28.0,19.9,41.5,49.0,58.5,72.4,73.5,75.5,68.3,59.6,40.0,35.4
49,wyoming,0,0,0,0,0,0,0,0,0,0,0,0,29.6,21.8,34.4,40.9,50.8,66.9,72.4,70.4,63.6,49.2,42.7,34.3
